 Lasso coefficients for determining the ITH phenotypes.,,,
Feature name,Low-ITH vs Others,Middle-ITH vs Others,High-ITH vs Others
dzm_ldlge_3d_fbn_n32,0,0,0
dzm_ldhge_3d_fbn_n32,0,0,0
dzm_glnu_3d_fbn_n32,-0.030479724,0,0.096811417
dzm_glnu_norm_3d_fbn_n32,0,-0.091827406,0.016323466
dzm_zdnu_3d_fbn_n32,-0.062456392,0,0.095231484
dzm_zdnu_norm_3d_fbn_n32,0,0,-0.001950468
dzm_z_perc_3d_fbn_n32,0,0.007058834,-0.065544606
dzm_gl_var_3d_fbn_n32,0,0.011823447,-0.031898149
dzm_zd_var_3d_fbn_n32,0,0,0.046497897
dzm_zd_entr_3d_fbn_n32,-0.057376654,0,0.014092696
ngt_coarseness_3d_fbn_n32,0,0,0
ngt_contrast_3d_fbn_n32,0,0.035769003,0
ngt_busyness_3d_fbn_n32,0,0,0.052408734
ngt_complexity_3d_fbn_n32,0,0,-0.006815933
ngt_strength_3d_fbn_n32,0.000134265,0,0
ngl_lde_d1_a0.0_3d_fbn_n32,0,0,-0.053962464
ngl_hde_d1_a0.0_3d_fbn_n32,0,0,0.062597716
ngl_lgce_d1_a0.0_3d_fbn_n32,0,0,0
ngl_hgce_d1_a0.0_3d_fbn_n32,0.01708653,0,-0.037131607
ngl_ldlge_d1_a0.0_3d_fbn_n32,0,0,0
ngl_ldhge_d1_a0.0_3d_fbn_n32,0.02589439,0,-0.070064661
ngl_hdlge_d1_a0.0_3d_fbn_n32,0,0,0.01780585
ngl_hdhge_d1_a0.0_3d_fbn_n32,0,0,0
ngl_glnu_d1_a0.0_3d_fbn_n32,0,0,0.018822275
ngl_glnu_norm_d1_a0.0_3d_fbn_n32,0.00159363,0,0
ngl_dcnu_d1_a0.0_3d_fbn_n32,-0.026175365,0,0.090830178
ngl_dcnu_norm_d1_a0.0_3d_fbn_n32,0,0,-0.037373179
ngl_gl_var_d1_a0.0_3d_fbn_n32,0,0.02639233,0
ngl_dc_var_d1_a0.0_3d_fbn_n32,0,0,0.053588979
ngl_dc_entr_d1_a0.0_3d_fbn_n32,-0.042424237,0,0.085708916
ngl_dc_energy_d1_a0.0_3d_fbn_n32,0,0,-0.042797272
loc_peak_loc_2,0,0,-0.000123925
loc_peak_glob_2,0,0.008386192,0
stat_mean_2,-0.002652348,0.080902908,0
stat_var_2,-0.066854179,0,0
stat_skew_2,-0.058292246,0,0.053108488
stat_kurt_2,0.087387752,-0.098082254,0
stat_median_2,0,0.080297938,0
stat_min_2,0,0.104919389,-0.031564139
stat_p10_2,0,0.048057121,0
stat_p90_2,-0.043233205,0.075352389,0
stat_max_2,-0.040182582,0,0
stat_iqr_2,-0.08780286,0.027150396,0
stat_range_2,-0.006614182,0,0.011164976
stat_mad_2,-0.071844768,0.020727441,0
stat_rmad_2,-0.087801176,0.034283899,0
stat_medad_2,-0.069995495,0.006854123,0
stat_cov_2,-0.038636718,0,0
stat_qcod_2,-0.05433914,0,0.005153429
stat_energy_2,-0.058814083,0,0
stat_rms_2,-0.01513163,0.082365892,0
ivh_v10_2,0,-0.013989504,0
ivh_v90_2,0,0,0
ivh_i10_2,0,0,-0.061784357
ivh_i90_2,0.08178574,-0.035584635,0
ivh_diff_v10_v90_2,0,-0.031692316,0
ivh_diff_i10_i90_2,0,0.091848341,-0.00171257
ih_mean_fbn_n32_2,0.06541366,0,-0.033230017
ih_var_fbn_n32_2,0,0.079864295,0
ih_skew_fbn_n32_2,-0.055867756,0,0.053701995
ih_kurt_fbn_n32_2,0.087772073,-0.097092458,0
ih_median_fbn_n32_2,0.084702304,0,-0.043045337
ih_p10_fbn_n32_2,0.065852548,-0.014947486,0
ih_p90_fbn_n32_2,0,0,-0.051254192
ih_mode_fbn_n32_2,0.120053398,-0.060814935,0
ih_iqr_fbn_n32_2,-0.005903829,0.068690345,0
ih_mad_fbn_n32_2,-0.00077862,0.093640526,0
ih_rmad_fbn_n32_2,-0.023463121,0.089828222,0
ih_medad_fbn_n32_2,0,0.072498752,0
ih_cov_fbn_n32_2,-0.025966402,0.02888138,0
ih_qcod_fbn_n32_2,-0.042013256,0.029347324,0
ih_entropy_fbn_n32_2,0,0,0
ih_uniformity_fbn_n32_2,0,-0.030576471,0
ih_max_grad_fbn_n32_2,0,2.81E-05,0
ih_max_grad_g_fbn_n32_2,0,0,-0.003447649
ih_min_grad_fbn_n32_2,0.039715543,-0.052109455,0
ih_min_grad_g_fbn_n32_2,0.055929636,0,0
cm_joint_max_d1_3d_avg_fbn_n32_2,0,0,0
cm_joint_avg_d1_3d_avg_fbn_n32_2,0.050445484,0,-0.060892562
cm_joint_var_d1_3d_avg_fbn_n32_2,0,0.057268671,0
cm_joint_entr_d1_3d_avg_fbn_n32_2,0,-0.018591396,0
cm_diff_avg_d1_3d_avg_fbn_n32_2,0,0,-0.036566291
cm_diff_var_d1_3d_avg_fbn_n32_2,0,0,-0.026718532
cm_diff_entr_d1_3d_avg_fbn_n32_2,0.022007946,0,-0.032491003
cm_sum_avg_d1_3d_avg_fbn_n32_2,0.050506404,0,-0.060772877
cm_sum_var_d1_3d_avg_fbn_n32_2,-0.010526956,0.058105955,0
cm_sum_entr_d1_3d_avg_fbn_n32_2,0,0,0
cm_energy_d1_3d_avg_fbn_n32_2,0,0,0
cm_contrast_d1_3d_avg_fbn_n32_2,0,0,-0.000644991
cm_dissimilarity_d1_3d_avg_fbn_n32_2,0,0,-0.036524268
cm_inv_diff_d1_3d_avg_fbn_n32_2,0,0,0.061820312
cm_inv_diff_norm_d1_3d_avg_fbn_n32_2,0,-0.029984145,0.048283159
cm_inv_diff_mom_d1_3d_avg_fbn_n32_2,0,0,0.061284715
cm_inv_diff_mom_norm_d1_3d_avg_fbn_n32_2,0,-0.041903369,0.011430385
cm_inv_var_d1_3d_avg_fbn_n32_2,0,-0.001277934,0.06828095
cm_corr_d1_3d_avg_fbn_n32_2,-0.012842965,0,0.01120778
cm_auto_corr_d1_3d_avg_fbn_n32_2,0.037701673,0,-0.063816533
cm_clust_tend_d1_3d_avg_fbn_n32_2,-0.010589481,0.058053212,0
cm_clust_shade_d1_3d_avg_fbn_n32_2,0,0,0.024550917
cm_clust_prom_d1_3d_avg_fbn_n32_2,0,0.051575228,0
cm_info_corr1_d1_3d_avg_fbn_n32_2,0.052208798,-0.090360915,0
cm_info_corr2_d1_3d_avg_fbn_n32_2,-0.011732028,0.023180751,0
rlm_sre_3d_avg_fbn_n32_2,0,0,-0.031088722
rlm_lre_3d_avg_fbn_n32_2,0,0,0.008703337
rlm_lgre_3d_avg_fbn_n32_2,0,0,0
rlm_hgre_3d_avg_fbn_n32_2,0.050836823,0,-0.039773799
rlm_srlge_3d_avg_fbn_n32_2,0,0,0
rlm_srhge_3d_avg_fbn_n32_2,0.055134514,0,-0.043015202
rlm_lrlge_3d_avg_fbn_n32_2,0,0,0
rlm_lrhge_3d_avg_fbn_n32_2,0.017005593,0,-0.026537408
rlm_glnu_3d_avg_fbn_n32_2,-0.031535354,0,0
rlm_glnu_norm_3d_avg_fbn_n32_2,0,-0.034982993,0
rlm_rlnu_3d_avg_fbn_n32_2,-0.043538118,0,0.007775863
rlm_rlnu_norm_3d_avg_fbn_n32_2,0,0,-0.037773381
rlm_r_perc_3d_avg_fbn_n32_2,3.79E-05,0,-0.016496858
rlm_gl_var_3d_avg_fbn_n32_2,0,0.074958043,0
rlm_rl_var_3d_avg_fbn_n32_2,0,0,0
rlm_rl_entr_3d_avg_fbn_n32_2,0,0,0
szm_sze_3d_fbn_n32_2,0,0.113145517,-0.123996056
szm_lze_3d_fbn_n32_2,0,0,0
szm_lgze_3d_fbn_n32_2,0,0,0
szm_hgze_3d_fbn_n32_2,0.023975816,0,0
szm_szlge_3d_fbn_n32_2,0,0,0
szm_szhge_3d_fbn_n32_2,0,0,-0.035053967
szm_lzlge_3d_fbn_n32_2,0,0,0
szm_lzhge_3d_fbn_n32_2,0,0.043144016,0
szm_glnu_3d_fbn_n32_2,-0.03881124,0,0.02136968
szm_glnu_norm_3d_fbn_n32_2,0.014208581,-0.073027808,0
szm_zsnu_3d_fbn_n32_2,-0.055435329,0,0.010550699
szm_zsnu_norm_3d_fbn_n32_2,0,0.109046299,-0.10468343
szm_z_perc_3d_fbn_n32_2,0,0.016835573,-0.074204002
szm_gl_var_3d_fbn_n32_2,0,0.00909846,0
szm_zs_var_3d_fbn_n32_2,0,0,0
szm_zs_entr_3d_fbn_n32_2,0,-0.067778979,0.090768207
dzm_sde_3d_fbn_n32_2,0,0,-0.030728653
dzm_lde_3d_fbn_n32_2,0,0,0.097854643
dzm_lgze_3d_fbn_n32_2,0,0,0
dzm_hgze_3d_fbn_n32_2,0.024044285,0,0
dzm_sdlge_3d_fbn_n32_2,0,0,0
dzm_sdhge_3d_fbn_n32_2,0.029051605,0,-0.000284786
dzm_ldlge_3d_fbn_n32_2,0.000215104,0,0
dzm_ldhge_3d_fbn_n32_2,0,0,0
dzm_glnu_3d_fbn_n32_2,-0.038884814,0,0.021553806
dzm_glnu_norm_3d_fbn_n32_2,0.014077822,-0.073099906,0
dzm_zdnu_3d_fbn_n32_2,-0.050369698,0,0.019281709
dzm_zdnu_norm_3d_fbn_n32_2,0,0,-0.011690467
dzm_z_perc_3d_fbn_n32_2,0,0.016854655,-0.074421867
dzm_gl_var_3d_fbn_n32_2,0,0.00913122,0
dzm_zd_var_3d_fbn_n32_2,-0.004593221,0,0.098809815
dzm_zd_entr_3d_fbn_n32_2,0,0,0.013310385
ngt_coarseness_3d_fbn_n32_2,0,0,0
ngt_contrast_3d_fbn_n32_2,0,0,0
ngt_busyness_3d_fbn_n32_2,-0.012360757,0,0.016113858
ngt_complexity_3d_fbn_n32_2,0,0.048779871,-0.078912032
ngt_strength_3d_fbn_n32_2,0,0.001909503,0
ngl_lde_d1_a0.0_3d_fbn_n32_2,0,0.03389016,-0.071295945
ngl_hde_d1_a0.0_3d_fbn_n32_2,0,0,0
ngl_lgce_d1_a0.0_3d_fbn_n32_2,0,0,0
ngl_hgce_d1_a0.0_3d_fbn_n32_2,0.052286039,0,-0.047448012
ngl_ldlge_d1_a0.0_3d_fbn_n32_2,0,0,0
ngl_ldhge_d1_a0.0_3d_fbn_n32_2,0,0,-0.070333755
ngl_hdlge_d1_a0.0_3d_fbn_n32_2,0,0,0
ngl_hdhge_d1_a0.0_3d_fbn_n32_2,0,0,0
ngl_glnu_d1_a0.0_3d_fbn_n32_2,-0.026603047,0,0
ngl_glnu_norm_d1_a0.0_3d_fbn_n32_2,0,-0.030707219,0
ngl_dcnu_d1_a0.0_3d_fbn_n32_2,-0.051916405,0,0.036799516
ngl_dcnu_norm_d1_a0.0_3d_fbn_n32_2,0,0.009906184,-0.007357126
ngl_gl_var_d1_a0.0_3d_fbn_n32_2,0,0.079481353,0
ngl_dc_var_d1_a0.0_3d_fbn_n32_2,0,0,0
ngl_dc_entr_d1_a0.0_3d_fbn_n32_2,0,-0.002633226,0.02917441
ngl_dc_energy_d1_a0.0_3d_fbn_n32_2,0,0,0
